,m,T,r,q,v0,theta,kappa,sigma,rho,amercall_pde
0,0.44394928369588527,1.292443103029691,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.567864069951862
1,1.9145844152369098,1.4414990873199014,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.00011767178573805862
2,1.5163211342524472,0.8899793745923847,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0004495456916753043
3,1.2539547226500272,0.009240013965057157,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
4,1.0848235770015133,0.02972075751853536,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,4.3967769427699174e-05
5,0.8301754043794907,0.048010870173927786,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.17063827514993832
6,1.7363135416385684,0.791454199733683,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,2.0339113179874594e-05
7,1.109592524799239,0.12607117841228577,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.001712759082910827
8,0.8476176562095272,0.6338497486845792,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.17580798749496465
9,1.9938153223062882,1.0842066488328497,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,1.2757343692564716e-05
10,1.5779165767629562,1.5228936286760912,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.001951417374187215
11,0.48277662323287557,1.8414502917009057,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.5361830223157689
12,1.0960202755356312,0.8163540046130565,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.03594552617897943
13,2.44247322397935,0.6374005610540706,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
14,1.2754774716638624,1.8810229838189463,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.028939684066595427
15,0.5223942375952572,1.8778680486378385,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.49921262130739236
16,0.2967577330573705,0.02847104187717138,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.7034052710859687
17,1.8743914197262703,0.7435370531207758,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
18,1.6158926713460537,0.27299886245651384,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
19,2.276283821416582,1.828971840018725,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,4.327080865366611e-05
20,1.6320568525896395,1.4577054738946134,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.00108660466449851
21,0.7982799139172629,1.6112332343204516,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.2494375019564686
22,1.4776906533845426,0.8668811006941872,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0006307416059981814
23,1.1314689099548445,1.9905193736359381,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.06937070000048876
24,0.5260385021103418,0.6420580617524054,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.4809107317317248
25,1.5288166185055518,0.6183764427641738,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,6.832616406976707e-05
26,1.410998862765558,1.7666194910333395,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.010508443543481863
27,2.35870898562869,1.113619082164847,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
28,2.4054212119438976,1.461913175054232,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
29,2.464193148561301,1.5904340327029178,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.0
30,0.7311990768868186,0.27797810407644447,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.2731969928684009
31,0.4232822712112442,0.6409176081072243,0.02,0.0,0.04,0.04,1.5,0.3,-0.5,0.582273679438389
