,m,T,r,q,v0,theta,kappa,sigma,rho,amercall_pde
0,0.44394928369588527,1.292443103029691,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.5846954455667974
1,1.9145844152369098,1.4414990873199014,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.000733079826425008
2,1.5163211342524472,0.8899793745923847,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.002145059425840614
3,1.2539547226500272,0.009240013965057157,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.0
4,1.0848235770015133,0.02972075751853536,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.0002572372515398624
5,0.8301754043794907,0.048010870173927786,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.17181090584009018
6,1.7363135416385684,0.791454199733683,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.00011448746108587478
7,1.109592524799239,0.12607117841228577,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.004577485681861362
8,0.8476176562095272,0.6338497486845792,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.19674187625989525
9,1.9938153223062882,1.0842066488328497,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,6.851106382395782e-05
10,1.5779165767629562,1.5228936286760912,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.008707721164752345
11,0.48277662323287557,1.8414502917009057,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.5622881615733271
12,1.0960202755356312,0.8163540046130565,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.061112319607443406
13,2.44247322397935,0.6374005610540706,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.0
14,1.2754774716638624,1.8810229838189463,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.06551063834458028
15,0.5223942375952572,1.8778680486378385,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.5283135341288147
16,0.2967577330573705,0.02847104187717138,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.703649173659762
17,1.8743914197262703,0.7435370531207758,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,1.4785093659286844e-05
18,1.6158926713460537,0.27299886245651384,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.0
19,2.276283821416582,1.828971840018725,0.05,0.0,0.06,0.06,1.5,0.3,-0.6,0.0003056929315515761
